Unique index,Multiplicity,Configuration,Ratio,Supercell,Free Energy / kJ/mol,Enthalpy per atom / kJ/mol,Entropy per atom / kJ/mol,Volume/A^3,N atoms,Density/g/mol^3
0,1e+00,[0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
1,1.0,[1],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
2,1.0,[2],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
3,1.0,[3],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
4,1.0,[4],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
5,1.0,[5],[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
6,1.0,[6],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
7,1.0,[7],[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
8,1.0,[8],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
9,1.0,[9],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
10,1.0,[10],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
11,1.0,[11],[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
12,1.0,[12],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
13,1.0,[13],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
14,1.0,[14],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
15,1.0,[15],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
16,1.0,[16],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
17,1.0,[17],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
18,1.0,[18],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
19,1.0,[19],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
20,1.0,[20],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
21,1.0,[21],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
22,1.0,[22],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
23,1.0,[23],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
24,1.0,[24],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
25,1.0,[25],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
26,1.0,[26],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
27,1.0,[27],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
28,1.0,[28],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
29,1.0,[29],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
30,1.0,[30],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],1x1x1,,,,1391.661833008479,37,2.7293556509247328
31,1.0,[31],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1x1x1,,,,1391.661833008479,37,2.7293556509247328
